,from,to,distance,time
2,W01320203,S1,56449,3245
2,W01320203,S2,29269,2210
2,W01320203,S25,11968,1304
2,W01320203,S26,12190,1408
2,W01320203,S27,11215,1277
2,W01320203,S28,11046,1292
2,W01320203,S29,10747,1245
2,W01320203,S30,11480,1450
2,W01320203,S31,12980,1516
2,W01320203,S32,11573,1325
2,W01320203,S33,12093,1288
2,W01320203,S122,4765,658
2,S1,W01320203,46920,3000
2,S1,S2,32100,3184
2,S1,S3,32100,3239
2,S1,S4,54479,3267
2,S1,S5,57863,3343
2,S1,S6,51285,3658
2,S1,S7,54948,3216
2,S1,S8,55153,3077
2,S1,S9,55418,3164
2,S1,S10,54187,3064
2,S1,S11,44431,3039
2,S1,S12,45597,3243
2,S1,S13,45314,3209
2,S1,S14,44757,3038
2,W01320203,S34,11957,1306
2,W01320203,S35,9256,1140
2,W01320203,S36,8799,1114
2,W01320203,S37,9010,1156
2,W01320203,S38,11877,1448
2,W01320203,S39,7947,1041
2,W01320203,S40,11903,1741
2,W01320203,S41,5056,802
2,W01320203,S42,18436,2130
2,W01320203,S43,6007,908
2,W01320203,S44,7364,1197
2,W01320203,S45,4602,698
2,W01320203,S46,7433,1158
2,W01320203,S47,8004,1219
2,W01320203,S48,8998,1137
2,W01320203,S49,5069,798
2,W01320203,S50,7521,1060
2,W01320203,S51,4715,685
2,W01320203,S52,1649,249
2,W01320203,S53,16281,1884
2,W01320203,S54,18225,2120
2,W01320203,S55,15996,1916
2,W01320203,S56,16387,1958
2,W01320203,S57,16627,1976
2,W01320203,S58,16661,2042
2,W01320203,S59,22899,2020
2,W01320203,S60,13027,1440
2,W01320203,S61,13205,1520
2,W01320203,S62,12676,1503
2,W01320203,S63,18334,2166
2,S1,S15,42004,2763
2,S1,S16,41938,2721
2,S1,S17,39412,2636
2,S1,S18,38371,2498
2,S1,S19,40916,2909
2,S1,S20,44122,2954
2,S1,S21,39445,2582
2,S1,S22,46023,3142
2,S1,S23,42962,3056
2,S1,S24,30359,2918
2,S1,S25,44003,3220
2,S1,S26,44921,3375
2,S1,S27,40771,2833
2,S1,S28,41192,2907
2,S1,S29,41635,2947
2,S1,S30,42404,3113
2,S1,S31,41709,2973
2,S1,S32,42575,3074
2,S1,S33,42901,3056
2,S1,S34,43588,3198
2,S1,S35,39938,2683
2,S1,S36,47584,3428
2,S1,S37,52379,3256
2,S1,S38,41433,3024
2,S1,S39,56316,3452
2,S1,S40,54516,3719
2,S1,S41,50808,3589
2,S1,S42,33358,3563
2,S1,S43,48459,3548
2,S1,S44,53116,3979
2,S1,S45,50354,3478
2,S1,S46,56811,3606
2,S1,S47,56363,3627
2,S1,S48,52367,3250
2,S1,S49,48458,3298
2,S1,S50,46832,3239
2,S1,S51,48129,3220
2,S1,S52,47401,3007
2,S1,S53,30655,3042
2,S1,S54,28072,2726
2,S1,S55,32530,2469
2,S1,S56,31961,2453
2,S1,S57,31998,2450
2,S1,S58,28205,2792
2,S1,S59,30556,2279
2,S1,S60,42994,3086
2,S1,S61,39399,2720
2,S1,S62,38769,2680
2,W01320203,S64,20715,2440
2,W01320203,S65,9132,1171
2,W01320203,S66,12345,1472
2,W01320203,S67,13435,1513
2,W01320203,S68,26839,1959
2,W01320203,S69,27721,1954
2,W01320203,S70,18985,2223
2,W01320203,S71,9942,1195
2,W01320203,S72,15730,1812
2,W01320203,S73,15480,1770
2,W01320203,S74,12066,1394
2,W01320203,S75,19161,2438
2,W01320203,S76,18328,2318
2,W01320203,S77,15106,1832
2,W01320203,S78,12072,1254
2,W01320203,S79,9470,1149
2,W01320203,S80,10228,1345
2,W01320203,S81,10917,1326
2,W01320203,S82,9510,1225
2,W01320203,S83,9893,1244
2,W01320203,S84,5008,795
2,W01320203,S85,7590,977
2,W01320203,S86,6655,1005
2,W01320203,S87,9457,1225
2,W01320203,S88,7359,995
2,W01320203,S89,5839,806
2,W01320203,S90,3112,425
2,W01320203,S91,5163,781
2,W01320203,S92,9253,1368
2,W01320203,S93,9581,1478
2,W01320203,S94,7965,1232
2,W01320203,S95,7108,974
2,W01320203,S96,7350,1000
2,W01320203,S97,5127,730
2,W01320203,S98,9748,1298
2,W01320203,S99,9195,1258
2,W01320203,S100,8587,1281
2,W01320203,S101,7905,1005
2,W01320203,S102,7680,1098
2,W01320203,S103,7486,1033
2,W01320203,S104,8052,1158
2,W01320203,S105,10622,1602
2,W01320203,S106,9543,1480
2,W01320203,S107,8578,1332
2,W01320203,S108,9404,1468
2,W01320203,S109,6764,1100
2,W01320203,S110,9650,1354
2,W01320203,S111,8541,1254
2,W01320203,S112,7403,1016
2,W01320203,S113,10116,1161
2,W01320203,S114,8166,1159
2,W01320203,S115,7676,1022
2,W01320203,S116,8016,1110
2,W01320203,S117,5303,730
2,W01320203,S118,4690,771
2,W01320203,S119,1517,254
2,W01320203,S120,958,180
2,W01320203,S121,4101,585
2,S1,S97,49400,3429
2,S1,S98,59992,3876
2,S1,S99,59404,3890
2,S1,S100,52860,4030
2,S1,S101,51848,3848
2,S1,S102,52111,3838
2,S1,S103,51759,3781
2,S1,S104,53723,3871
2,S1,S105,54011,4131
2,S1,S106,52932,3991
2,S1,S107,51967,3868
2,S1,S108,52793,3881
2,S1,S109,50153,3554
2,S1,S110,53923,4003
2,S1,S111,51930,3799
2,S1,S112,51676,3625
2,S1,S113,60182,3828
2,S1,S114,52439,3762
2,S1,S115,51949,3687
2,S1,S116,52299,3719
2,S1,S117,49501,3394
2,S1,S118,49467,3541
2,S1,S119,46782,2964
2,S1,S120,45760,2858
2,S1,S121,48299,3258
2,S1,S122,48963,3305
2,S2,W01320203,21292,2371
2,S2,S1,31126,2679
2,S2,S3,1083,285
2,S2,S4,9562,1006
2,S2,S5,8801,854
2,S2,S6,20903,2147
2,S2,S7,11889,1281
2,S2,S8,12094,1103
2,S2,S9,12359,1236
2,S2,S10,8762,860
2,S2,S11,20719,2329
2,S2,S12,29188,2472
2,S2,S13,28905,2423
2,S2,S14,28299,2266
2,S2,S15,22972,2181
2,S2,S16,25331,1971
2,S2,S17,15456,1642
2,S2,S18,14415,1457
2,S2,S19,16960,1812
2,S2,S20,21222,2323
2,S2,S21,12781,1315
2,S2,S22,26991,2546
2,S2,S23,21332,2330
2,S2,S24,5299,654
2,S2,S25,10648,1351
2,S2,S26,12040,1325
2,S2,S27,10702,1207
2,S2,S28,12030,1342
2,S2,S29,11235,1322
2,S2,S30,12464,1468
2,S2,S31,9237,1203
2,S2,S32,9303,1160
2,S2,S33,9249,1137
2,S2,S34,9936,1273
2,S2,S35,12342,1452
2,S2,S36,18453,1481
2,S2,S37,18664,1519
2,S2,S38,11364,1378
2,S2,S39,22243,1771
2,S2,S40,20801,2051
2,S2,S41,23857,2165
2,S2,S42,3979,631
2,S2,S43,16532,2112
2,S2,S44,22734,2554
2,S2,S45,21371,2315
2,S2,S46,20706,2096
2,S2,S47,20268,2115
2,S2,S48,16272,1733
2,S2,S49,31851,2544
2,S2,S50,30374,2425
2,S2,S51,24294,2818
2,S2,S52,19254,2276
2,S2,S53,7284,824
2,S2,S54,6152,698
2,S2,S55,7182,747
2,S2,S56,6868,783
2,S2,S57,6436,760
2,S2,S58,6285,800
2,S2,S59,8564,1008
2,S2,S60,9342,1192
2,S2,S61,10016,1100
2,S2,S62,9376,1156
2,S2,S63,8552,971
2,S2,S64,8692,1044
2,S2,S65,14836,1886
2,S2,S66,9045,1108
2,S2,S67,7978,1066
2,S2,S68,3141,508
2,S2,S69,5031,662
2,S2,S70,2507,355
2,S2,S71,11717,1330
2,S3,S47,20268,2119
2,S3,S48,16272,1733
2,S3,S49,31851,2545
2,S3,S50,30374,2479
2,S3,S51,24294,2698
2,S3,S52,19254,2214
2,S3,S53,7284,864
2,S3,S54,6152,666
2,S3,S55,7182,788
2,S3,S56,6868,830
2,S3,S57,6436,755
2,S3,S58,6285,773
2,S3,S59,8564,1008
2,S3,S60,9342,1239
2,S3,S61,10016,1150
2,S3,S62,9872,1083
2,S3,S63,8552,939
2,S3,S64,8642,1072
2,S3,S65,15272,1684
2,S3,S66,9045,1106
2,S3,S67,7978,1094
2,S3,S68,3141,513
2,S3,S69,5031,662
2,S3,S70,2507,355
2,S3,S71,11717,1330
2,S3,S72,5476,769
2,S3,S73,6571,786
2,S3,S74,10220,1210
2,S3,S75,2819,455
2,S3,S76,3316,512
2,S3,S77,6314,805
2,S3,S78,8802,1105
2,S3,S79,21380,2122
2,S3,S80,21583,2182
2,S3,S81,21132,2107
2,S3,S82,21477,2233
2,S3,S83,21715,2187
2,S3,S84,18422,2110
2,S3,S85,24357,1873
2,S3,S86,27313,2226
2,S3,S87,21281,2139
2,S3,S88,24126,1846
2,S3,S89,18931,2194
2,S3,S90,20299,2175
2,S3,S91,25278,1739
2,S3,S92,29272,2242
2,S3,S93,29600,2345
2,S3,S94,27984,2163
2,S3,S95,28049,2125
2,S3,S96,29825,2347
2,S3,S97,26509,1941
2,S3,S98,29767,2258
2,S3,S99,24417,2412
2,S3,S100,28448,2264
2,S3,S101,29068,2228
2,S3,S102,27699,2034
2,S3,S103,30829,2418
2,S1,S63,30499,2290
2,S1,S64,27576,2752
2,S1,S65,38151,2459
2,S1,S66,38438,2647
2,S1,S67,39342,2727
2,S1,S68,33485,3504
2,S1,S69,36099,3675
2,S1,S70,32745,3194
2,S1,S71,39419,2681
2,S1,S72,36960,2958
2,S1,S73,30934,3133
2,S1,S74,39754,2778
2,S1,S75,33057,3382
2,S1,S76,33571,3572
2,S1,S77,30181,2992
2,S1,S78,42454,3022
2,S1,S79,42732,2819
2,S1,S80,43602,2974
2,S1,S81,43557,2984
2,S1,S82,42884,2818
2,S1,S83,43086,2889
2,S1,S84,44490,3162
2,S1,S85,40964,2630
2,S1,S86,43799,2951
2,S1,S87,42831,2818
2,S1,S88,40733,2634
2,S1,S89,41462,2700
2,S1,S90,44529,3012
2,S1,S91,49743,3451
2,S1,S92,59497,3927
2,S1,S93,59825,3977
2,S1,S94,52396,3960
2,S1,S95,51381,3650
2,S1,S96,51623,3772
2,S2,S72,5476,741
2,S2,S73,6571,786
2,S2,S74,10220,1167
2,S2,S75,2819,490
2,S2,S76,3316,529
2,S2,S77,6810,787
2,S2,S78,8802,1179
2,S2,S79,21380,2122
2,S2,S80,21583,2155
2,S2,S81,21132,2182
2,S2,S82,21477,2233
2,S2,S83,21715,2288
2,S2,S84,18422,2019
2,S2,S85,24357,1836
2,S2,S86,27313,2193
2,S2,S87,21281,2235
2,S2,S88,24126,1877
2,S2,S89,18931,2094
2,S2,S90,20299,2175
2,S2,S91,25278,1739
2,S2,S92,29272,2244
2,S2,S93,29600,2389
2,S2,S94,27984,2151
2,S2,S95,28049,2125
2,S2,S96,29825,2299
2,S2,S97,26509,1900
2,S2,S98,29767,2220
2,S2,S99,24417,2430
2,S2,S100,28448,2261
2,S2,S101,29068,2269
2,S2,S102,27699,1994
2,S2,S103,23642,2688
2,S2,S104,30227,2225
2,S2,S105,37435,3300
2,S2,S106,36356,3125
2,S2,S107,35391,2905
2,S2,S108,36217,3113
2,S2,S109,33577,2647
2,S2,S110,25806,3130
2,S2,S111,26440,3060
2,S2,S112,30795,2267
2,S2,S113,31122,2328
2,S2,S114,32326,2533
2,S2,S115,25117,2788
2,S2,S116,24172,3017
2,S2,S117,21459,2440
2,S2,S118,26355,2112
2,S2,S119,20895,2218
2,S2,S120,20402,2316
2,S2,S121,20257,2358
2,S2,S122,20921,2458
2,S3,W01320203,21292,2366
2,S3,S1,31126,2622
2,S3,S2,1083,285
2,S3,S4,9562,1036
2,S3,S5,8801,854
2,S3,S6,20903,2147
2,S3,S7,11889,1298
2,S3,S8,12094,1164
2,S3,S9,12359,1217
2,S3,S10,8762,794
2,S3,S11,20719,2249
2,S3,S12,29188,2471
2,S3,S13,28905,2497
2,S3,S14,28299,2274
2,S3,S15,22972,2188
2,S3,S16,25331,1928
2,S3,S17,15456,1615
2,S3,S18,14415,1455
2,S3,S19,16960,1844
2,S3,S20,21222,2403
2,S3,S21,12781,1286
2,S3,S22,26991,2580
2,S3,S23,21332,2330
2,S3,S24,5299,652
2,S3,S25,10648,1393
2,S3,S26,12040,1323
2,S3,S27,10702,1208
2,S3,S28,12030,1284
2,S3,S29,11235,1320
2,S3,S30,12464,1468
2,S3,S31,9237,1243
2,S3,S32,9303,1160
2,S3,S33,9249,1137
2,S3,S34,9936,1238
2,S3,S35,12342,1392
2,S3,S36,18463,1511
2,S3,S37,18316,1594
2,S3,S38,11364,1379
2,S3,S39,22243,1771
2,S3,S40,20801,2051
2,S3,S41,23857,2247
2,S3,S42,3979,660
2,S3,S43,16532,2046
2,S3,S44,22734,2491
2,S3,S45,21371,2342
2,S3,S46,20706,2172
2,S4,S22,33969,2362
2,S4,S23,30908,2246
2,S4,S24,11389,1524
2,S4,S25,15281,1710
2,S4,S26,14835,1643
2,S4,S27,15460,1772
2,S4,S28,16788,1839
2,S4,S29,16489,1787
2,S4,S30,17222,2020
2,S4,S31,14734,1636
2,S4,S32,14800,1651
2,S4,S33,14746,1627
2,S4,S34,14897,1672
2,S4,S35,18167,1971
2,S4,S36,22666,1494
2,S4,S37,22877,1573
2,S4,S38,16122,1875
2,S4,S39,26794,1824
2,S4,S40,25004,2071
2,S4,S41,28408,2190
2,S4,S42,9673,1220
2,S4,S43,25914,1915
2,S4,S44,29317,2284
2,S4,S45,27964,2036
2,S4,S46,27299,1936
2,S4,S47,26851,1970
2,S4,S48,22855,1605
2,S4,S49,36404,2557
2,S4,S50,34778,2467
2,S4,S51,36075,2404
2,S4,S52,28636,2053
2,S4,S53,13400,1686
2,S4,S54,12625,1458
2,S4,S55,13946,1562
2,S4,S56,13632,1578
2,S4,S57,13200,1526
2,S4,S58,13049,1502
2,S4,S59,15328,1824
2,S4,S60,13960,1540
2,S4,S61,15328,1735
2,S4,S62,15143,1822
2,S4,S63,15316,1729
2,S4,S64,15406,1808
2,S4,S65,26097,1704
2,S4,S66,14812,1850
2,S4,S67,13892,1621
2,S4,S68,7525,1047
2,S4,S69,7826,967
2,S4,S70,8597,1217
2,S4,S71,19916,1652
2,S4,S72,11505,1397
2,S4,S73,12165,1687
2,S4,S74,16311,1851
2,S4,S75,8605,1216
2,S4,S76,9406,1316
2,S4,S77,12404,1694
2,S4,S78,14299,1590
2,S4,S79,30678,2065
2,S4,S80,31548,2193
2,S4,S81,31900,2234
2,S4,S82,30830,2047
2,S4,S83,31032,2081
2,S4,S84,26921,2040
2,S4,S85,28910,1885
2,S4,S86,31745,2213
2,S4,S87,30777,2092
2,S4,S88,28679,1855
2,S4,S89,29408,1922
2,S4,S90,29528,2250
2,S4,S91,29481,1785
2,S4,S92,33475,2338
2,S4,S93,33803,2445
2,S4,S94,32187,2174
2,S4,S95,32252,2062
2,S4,S96,34028,2325
2,S4,S97,30712,1920
2,S4,S98,31916,2335
2,S4,S99,33382,2257
2,S4,S100,32651,2270
2,S4,S101,33271,2249
2,S4,S102,31902,2015
2,S4,S103,35032,2409
2,S4,S104,34430,2226
2,S4,S105,40736,3172
2,S4,S106,39657,3121
2,S4,S107,39952,2884
2,S4,S108,40778,3024
2,S4,S109,38138,2668
2,S4,S110,37753,2961
2,S4,S111,38647,2842
2,S4,S112,34998,2305
2,S4,S113,35325,2371
2,S4,S114,36529,2553
2,S4,S115,36039,2512
2,S4,S116,36129,2650
2,S4,S117,33149,2324
2,S4,S118,28052,2152
2,S4,S119,28982,2154
2,S4,S120,33706,2085
2,S4,S121,31947,2188
2,S4,S122,32611,2199
2,S5,W01320203,33115,2387
2,S5,S1,24660,2042
2,S5,S2,8886,970
2,S5,S3,8886,1009
2,S5,S4,6003,727
2,S5,S6,31232,2141
2,S5,S7,8548,947
2,S5,S8,8353,854
2,S5,S9,9018,921
2,S5,S10,3475,305
2,S5,S11,38927,2378
2,S5,S12,37279,2677
2,S5,S13,36996,2622
2,S5,S14,36439,2432
2,S5,S15,33686,2159
2,S5,S16,33620,2129
2,S5,S17,31032,1989
2,S5,S18,22828,2372
2,S5,S19,32536,2268
2,S5,S20,35804,2401
2,S5,S21,21194,2107
2,S5,S22,37705,2511
2,S5,S23,34644,2394
2,S5,S24,14208,1432
2,S5,S25,21337,1989
2,S5,S26,20891,1928
2,S5,S27,19115,1960
2,S5,S28,20192,2232
2,S5,S29,20144,2148
2,S5,S30,20877,2292
2,S5,S31,20790,2029
2,S5,S32,17961,2111
2,S5,S33,17907,2022
2,S5,S34,20953,1960
2,S5,S35,21251,2292
2,S5,S36,26402,1696
2,S5,S37,26603,1781
2,S5,S38,19777,2234
2,S5,S39,30540,1967
2,S5,S40,28740,2244
2,S5,S41,32144,2415
2,S5,S42,11782,1328
2,S5,S43,29640,2096
2,S5,S44,33063,2479
2,S5,S45,31690,2216
2,S5,S46,31025,2123
2,S5,S47,30587,2184
2,S5,S48,26591,1787
2,S5,S49,40140,2707
2,S5,S50,38514,2637
2,S5,S51,39811,2611
2,S5,S52,32372,2296
2,S5,S53,15697,1712
2,S5,S54,14565,1565
2,S5,S55,15595,1581
2,S5,S56,15281,1593
2,S5,S57,14849,1542
2,S5,S58,14698,1573
2,S5,S59,16977,1888
2,S5,S60,21171,1645
2,S5,S61,18429,1999
2,S5,S62,18034,1936
2,S5,S63,16965,1777
2,S5,S64,17055,1890
2,S5,S65,29833,1876
2,S5,S66,17954,1865
2,S5,S67,17710,1831
2,S5,S68,10944,1228
2,S5,S69,13882,1287
2,S5,S70,11165,1233
2,S5,S71,23652,1824
2,S5,S72,14170,1650
2,S5,S73,14733,1703
2,S5,S74,19129,1942
2,S5,S75,11224,1379
2,S5,S76,11974,1345
2,S5,S77,15223,1674
2,S5,S78,17460,2034
2,S5,S79,34414,2230
2,S5,S80,35284,2401
2,S5,S81,35239,2368
2,S5,S82,34566,2213
2,S5,S83,34768,2285
2,S5,S84,30657,2263
2,S5,S85,32646,2067
2,S5,S86,35481,2379
2,S5,S87,34513,2213
2,S5,S88,32415,2046
2,S5,S89,33144,2084
2,S5,S90,33264,2464
2,S5,S91,33217,2005
2,S5,S92,37211,2522
2,S5,S93,37539,2573
2,S7,S44,28804,2227
2,S7,S45,27441,2023
2,S7,S46,26776,1866
2,S7,S47,26338,1904
2,S7,S48,22342,1497
2,S7,S49,35891,2460
2,S7,S50,34265,2368
2,S7,S51,35562,2359
2,S7,S52,28113,2017
2,S7,S53,16401,1664
2,S7,S54,15960,1753
2,S7,S55,16990,1866
2,S7,S56,16676,1867
2,S7,S57,16244,1823
2,S7,S58,16093,1803
2,S7,S59,18372,2107
2,S7,S60,16922,1457
2,S7,S61,20045,1726
2,S7,S62,18753,1544
2,S7,S63,18360,2054
2,S7,S64,18500,2067
2,S7,S65,25584,1609
2,S7,S66,18422,1532
2,S7,S67,16972,1637
2,S7,S68,10569,1325
2,S7,S69,10870,1245
2,S7,S70,11641,1432
2,S7,S71,19403,1586
2,S7,S72,14506,1302
2,S7,S73,16098,1573
2,S7,S74,19738,1655
2,S7,S75,11649,1506
2,S7,S76,12450,1656
2,S7,S77,15927,1557
2,S7,S78,17261,1501
2,S7,S79,30165,1970
2,S7,S80,31035,2142
2,S7,S81,30990,2185
2,S7,S82,30317,2004
2,S7,S83,30519,2037
2,S7,S84,26408,1941
2,S7,S85,28397,1796
2,S7,S86,31232,2132
2,S7,S87,30264,2003
2,S7,S88,28166,1795
2,S7,S89,28895,1869
2,S7,S90,29015,2247
2,S7,S91,26613,1793
2,S7,S92,32962,2206
2,S7,S93,33290,2293
2,S7,S94,31674,2071
2,S7,S95,31739,2010
2,S7,S96,33515,2250
2,S7,S97,30199,1841
2,S7,S98,33457,2216
2,S7,S99,32869,2161
2,S7,S100,32138,2183
2,S7,S101,32758,2187
2,S7,S102,31389,1984
2,S7,S103,34519,2356
2,S7,S104,33917,2169
2,S7,S105,40223,3221
2,S7,S106,39144,3046
2,S7,S107,39439,2821
2,S7,S108,40265,2942
2,S7,S109,37625,2582
2,S7,S110,37240,2799
2,S7,S111,38134,2698
2,S7,S112,34485,2172
2,S7,S113,34812,2261
2,S7,S114,36016,2478
2,S7,S115,35526,2414
2,S7,S116,35616,2549
2,S7,S117,32636,2205
2,S7,S118,27539,2078
2,S7,S119,28479,2038
2,S7,S120,33193,1994
2,S7,S121,31434,2050
2,S7,S122,32098,2149
2,S8,W01320203,32480,2298
2,S8,S1,28387,2370
2,S8,S2,13895,1310
2,S8,S3,13895,1344
2,S8,S4,7444,863
2,S8,S5,10828,1004
2,S8,S6,30597,2038
2,S8,S7,5141,609
2,S8,S9,3736,352
2,S8,S10,7152,692
2,S8,S11,35516,2273
2,S8,S12,36644,2541
2,S8,S13,36361,2492
2,S8,S14,35804,2299
2,S8,S15,33051,2008
2,S8,S16,32985,2021
2,S8,S17,30397,1859
2,S8,S18,29356,1739
2,S8,S116,39230,2595
2,S8,S117,33942,2430
2,S8,S118,33659,2147
2,S8,S119,32093,2229
2,S8,S120,36807,2121
2,S8,S121,35048,2173
2,S8,S122,35712,2234
2,S9,W01320203,30652,2210
2,S9,S1,26549,2302
2,S9,S2,12057,1252
2,S9,S3,12057,1252
2,S9,S4,5606,797
2,S9,S5,8990,930
2,S9,S6,28759,1935
2,S9,S7,1666,298
2,S9,S8,1633,188
2,S9,S10,5314,622
2,S9,S11,33678,2248
2,S9,S12,34806,2484
2,S9,S13,34523,2408
2,S9,S14,33966,2216
2,S9,S15,31213,1939
2,S9,S16,31147,1918
2,S9,S17,28559,1802
2,S9,S18,27518,1683
2,S9,S19,30063,2064
2,S9,S20,33331,2218
2,S9,S21,28592,1764
2,S9,S22,35232,2327
2,S9,S23,32171,2181
2,S9,S24,18362,1676
2,S9,S25,20019,1637
2,S9,S26,19573,1619
2,S9,S27,20198,1702
2,S9,S28,22952,1818
2,S9,S29,21227,1847
2,S9,S30,21960,2029
2,S9,S31,19472,1631
2,S9,S32,19538,1593
2,S9,S33,19484,1571
2,S9,S34,19635,1608
2,S9,S35,23605,1973
2,S9,S36,23929,1506
2,S9,S37,24140,1548
2,S9,S38,20860,1880
2,S9,S39,28057,1789
2,S9,S40,26267,2043
2,S9,S41,29681,2140
2,S9,S42,14450,1186
2,S9,S43,27177,1940
2,S9,S44,30590,2284
2,S9,S45,29217,2044
2,S9,S46,28562,1921
2,S9,S47,28124,1921
2,S9,S48,24118,1546
2,S9,S49,37667,2522
2,S9,S50,36190,2427
2,S9,S51,37338,2422
2,S9,S52,29889,2122
2,S9,S53,18177,1706
2,S9,S54,17736,1783
2,S9,S55,18766,1869
2,S9,S56,18452,1930
2,S9,S57,18020,1827
2,S9,S58,17869,1832
2,S9,S59,20148,2069
2,S9,S60,18698,1484
2,S9,S61,21821,1752
2,S9,S62,20529,1629
2,S9,S63,20136,2120
2,S9,S64,20226,2094
2,S9,S65,27360,1691
2,S9,S66,20198,1542
2,S9,S67,18748,1701
2,S9,S68,12345,1340
2,S9,S69,12646,1269
2,S9,S70,13417,1552
2,S9,S71,21179,1653
2,S9,S72,16282,1398
2,S9,S73,17874,1581
2,S9,S74,21514,1695
2,S9,S75,13425,1602
2,S9,S76,14226,1710
2,S9,S77,17703,1624
2,S9,S78,19037,1565
2,S9,S79,31941,2021
2,S9,S80,32811,2216
2,S9,S81,32766,2253
2,S9,S82,32093,2040
2,S9,S83,32295,2074
2,S9,S84,28184,2046
2,S9,S85,30173,1830
2,S9,S86,33008,2195
2,S9,S87,32040,2066
2,S9,S88,29942,1848
2,S9,S89,30671,1918
2,S9,S90,33738,2177
2,S10,S66,18974,1500
2,S10,S67,16210,1813
2,S10,S68,9884,1103
2,S10,S69,10185,1054
2,S10,S70,10956,1252
2,S10,S71,19955,1534
2,S10,S72,15058,1306
2,S10,S73,16240,1569
2,S10,S74,20290,1600
2,S10,S75,10964,1304
2,S10,S76,11765,1463
2,S10,S77,16479,1620
2,S10,S78,16658,1678
2,S10,S79,30717,1966
2,S10,S80,31587,2097
2,S10,S81,31542,2105
2,S10,S82,30869,1966
2,S10,S83,31071,2000
2,S10,S84,26960,1937
2,S10,S85,28949,1749
2,S10,S86,31784,2085
2,S10,S87,30816,1949
2,S10,S88,28718,1758
2,S10,S89,29447,1825
2,S10,S90,32514,2149
2,S10,S91,29520,1718
2,S10,S92,33514,2198
2,S10,S93,33842,2286
2,S10,S94,32226,2038
2,S10,S95,32291,2002
2,S10,S96,34067,2223
2,S10,S97,30751,1814
2,S10,S98,31955,2176
2,S10,S99,33421,2124
2,S10,S100,32690,2139
2,S10,S101,33310,2112
2,S10,S102,31941,1919
2,S10,S103,35071,2308
2,S10,S104,34469,2165
2,S10,S105,40775,3124
2,S10,S106,39696,3022
2,S10,S107,39991,2866
2,S10,S108,40817,3015
2,S10,S109,38177,2572
2,S3,S104,30227,2182
2,S3,S105,37435,3179
2,S3,S106,36356,3007
2,S3,S107,35391,2904
2,S3,S108,36217,3130
2,S3,S109,33577,2723
2,S3,S110,33192,2961
2,S3,S111,26440,3060
2,S3,S112,30795,2221
2,S3,S113,31122,2328
2,S3,S114,32326,2541
2,S3,S115,31836,2455
2,S3,S116,24172,3013
2,S3,S117,21459,2496
2,S3,S118,26355,2024
2,S3,S119,20895,2312
2,S3,S120,20402,2256
2,S3,S121,20257,2353
2,S3,S122,20921,2414
2,S4,W01320203,29389,2221
2,S4,S1,24049,2153
2,S4,S2,7237,924
2,S4,S3,7237,910
2,S4,S5,5653,731
2,S4,S6,27496,1927
2,S4,S7,4812,789
2,S4,S8,5017,648
2,S4,S9,5282,715
2,S4,S10,2375,386
2,S4,S11,32415,2258
2,S4,S12,33543,2505
2,S4,S13,33260,2458
2,S4,S14,32703,2248
2,S4,S15,29950,1997
2,S4,S16,29884,1955
2,S4,S17,27296,1837
2,S4,S18,26255,1697
2,S4,S19,28943,2074
2,S4,S20,32068,2229
2,S4,S21,19545,2023
2,S5,S94,35923,2390
2,S5,S95,35988,2269
2,S5,S96,37764,2450
2,S5,S97,34448,2052
2,S5,S98,35652,2501
2,S5,S99,37118,2485
2,S5,S100,36387,2455
2,S5,S101,37007,2470
2,S5,S102,35638,2269
2,S5,S103,38768,2593
2,S5,S104,38166,2408
2,S5,S105,44472,3343
2,S5,S106,43393,3228
2,S5,S107,43688,3052
2,S5,S108,44514,3150
2,S5,S109,41874,2915
2,S5,S110,41489,3062
2,S5,S111,42383,2964
2,S5,S112,38483,2489
2,S5,S113,39061,2348
2,S5,S114,40265,2683
2,S5,S115,39775,2696
2,S5,S116,39865,2835
2,S5,S117,36885,2413
2,S5,S118,34294,2267
2,S5,S119,32718,2283
2,S5,S120,37442,2247
2,S5,S121,35683,2312
2,S5,S122,36347,2434
2,S6,W01320203,6970,1002
2,S6,S1,49499,3103
2,S6,S2,19886,2210
2,S6,S3,19886,2279
2,S6,S4,26637,2013
2,S6,S5,30021,2113
2,S6,S7,27106,1965
2,S6,S8,27311,1810
2,S6,S9,27576,1901
2,S6,S10,26345,1847
2,S6,S11,9843,1318
2,S6,S12,15161,1988
2,S6,S13,14600,2075
2,S6,S14,13783,1904
2,S6,S15,14399,1682
2,S6,S16,14333,1663
2,S6,S17,29502,1989
2,S6,S18,28461,1854
2,S6,S19,31006,2277
2,S6,S20,10346,1391
2,S6,S21,29535,1960
2,S6,S22,14987,1983
2,S6,S23,15357,1883
2,S6,S24,18578,1992
2,S6,S25,9769,1102
2,S6,S26,9323,1004
2,S6,S27,12439,1359
2,S6,S28,12270,1344
2,S6,S29,11971,1250
2,S6,S30,12704,1530
2,S6,S31,12328,1384
2,S6,S32,11102,1221
2,S6,S33,10957,1173
2,S6,S34,10396,1173
2,S6,S35,11722,1255
2,S6,S36,5735,702
2,S6,S37,5946,736
2,S6,S38,13101,1530
2,S6,S39,3519,430
2,S6,S40,8531,1275
2,S6,S41,5133,832
2,S6,S42,14992,1795
